,package name,app name,2 grams
0,com.google.android.diskusage,DiskUsage,visual explor
1,com.google.android.diskusage,DiskUsage,explor use
2,com.google.android.diskusage,DiskUsage,use free
3,com.google.android.diskusage,DiskUsage,free space
4,com.google.android.diskusage,DiskUsage,space intern
5,com.google.android.diskusage,DiskUsage,intern extern
6,com.google.android.diskusage,DiskUsage,extern storag
7,com.google.android.diskusage,DiskUsage,storag diskusag
8,com.google.android.diskusage,DiskUsage,diskusag provid
9,com.google.android.diskusage,DiskUsage,provid way
10,com.google.android.diskusage,DiskUsage,way find
11,com.google.android.diskusage,DiskUsage,find file
12,com.google.android.diskusage,DiskUsage,file directori
13,com.google.android.diskusage,DiskUsage,directori storag
14,com.google.android.diskusage,DiskUsage,storag card
15,com.google.android.diskusage,DiskUsage,card consum
16,com.google.android.diskusage,DiskUsage,consum lot
17,com.google.android.diskusage,DiskUsage,lot space
18,com.google.android.diskusage,DiskUsage,space display
19,com.google.android.diskusage,DiskUsage,display diagram
20,com.google.android.diskusage,DiskUsage,diagram directoriessubdirectori
21,com.google.android.diskusage,DiskUsage,directoriessubdirectori shown
22,com.google.android.diskusage,DiskUsage,shown proport
23,com.google.android.diskusage,DiskUsage,proport size
24,com.google.android.diskusage,DiskUsage,size press
25,com.google.android.diskusage,DiskUsage,press menu
26,com.google.android.diskusage,DiskUsage,menu action
27,com.google.android.diskusage,DiskUsage,action integr
28,com.google.android.diskusage,DiskUsage,integr oi
29,com.google.android.diskusage,DiskUsage,oi filemanag
30,com.google.android.diskusage,DiskUsage,filemanag solid
31,com.google.android.diskusage,DiskUsage,solid explor
32,ee.smkv.calc.loan,Simple Loan Calculator,calcul annuiti
33,ee.smkv.calc.loan,Simple Loan Calculator,annuiti differenti
34,ee.smkv.calc.loan,Simple Loan Calculator,differenti fix
35,ee.smkv.calc.loan,Simple Loan Calculator,fix payment
36,ee.smkv.calc.loan,Simple Loan Calculator,payment calculationth
37,ee.smkv.calc.loan,Simple Loan Calculator,calculationth monthli
38,ee.smkv.calc.loan,Simple Loan Calculator,monthli payment
39,ee.smkv.calc.loan,Simple Loan Calculator,payment amount
40,ee.smkv.calc.loan,Simple Loan Calculator,amount interest
41,ee.smkv.calc.loan,Simple Loan Calculator,interest paid
42,ee.smkv.calc.loan,Simple Loan Calculator,paid total
43,ee.smkv.calc.loan,Simple Loan Calculator,total cost
44,ee.smkv.calc.loan,Simple Loan Calculator,cost credit
45,ee.smkv.calc.loan,Simple Loan Calculator,credit amort
46,ee.smkv.calc.loan,Simple Loan Calculator,amort schedul
47,ee.smkv.calc.loan,Simple Loan Calculator,schedul comparison
48,ee.smkv.calc.loan,Simple Loan Calculator,comparison indic
49,ee.smkv.calc.loan,Simple Loan Calculator,indic differ
50,ee.smkv.calc.loan,Simple Loan Calculator,differ loan
51,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,classic puzzl
52,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,puzzl game
53,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,game player
54,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,player take
55,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,take turn
56,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,turn join
57,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,join two
58,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,two horizont
59,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,horizont vertic
60,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,vertic adjac
61,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,adjac dot
62,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,dot line
63,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,line player
64,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,player complet
65,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,complet fourth
66,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,fourth side
67,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,side squar
68,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,squar box
69,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,box color
70,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,color box
71,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,box must
72,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,must play
73,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,play box
74,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,box color
75,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,color game
76,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,game end
77,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,end player
78,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,player color
79,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,color box
80,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,box win
81,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,win play
82,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,play comput
83,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,comput comput
84,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,comput red
85,de.stefan_oltmann.kaesekaestchen,Dots'n'Boxes,red blue
86,com.example.android.monthcalendarwidget,Month Calendar Widget,simpl month
87,com.example.android.monthcalendarwidget,Month Calendar Widget,month calendar
88,com.example.android.monthcalendarwidget,Month Calendar Widget,calendar widget
89,be.brunoparmentier.dnssetter,DNSSetter,dnssetter let
90,be.brunoparmentier.dnssetter,DNSSetter,let chang
91,be.brunoparmentier.dnssetter,DNSSetter,chang dn
92,be.brunoparmentier.dnssetter,DNSSetter,dn server
93,be.brunoparmentier.dnssetter,DNSSetter,server current
94,be.brunoparmentier.dnssetter,DNSSetter,current use
95,be.brunoparmentier.dnssetter,DNSSetter,use setprop
96,be.brunoparmentier.dnssetter,DNSSetter,setprop method
97,be.brunoparmentier.dnssetter,DNSSetter,method work
98,be.brunoparmentier.dnssetter,DNSSetter,work mobil
99,be.brunoparmentier.dnssetter,DNSSetter,mobil connect
100,be.brunoparmentier.dnssetter,DNSSetter,connect threeg
101,be.brunoparmentier.dnssetter,DNSSetter,threeg fourg
102,be.brunoparmentier.dnssetter,DNSSetter,fourg etc
103,be.brunoparmentier.dnssetter,DNSSetter,etc temporari
104,be.brunoparmentier.dnssetter,DNSSetter,temporari resist
105,be.brunoparmentier.dnssetter,DNSSetter,resist ip
106,be.brunoparmentier.dnssetter,DNSSetter,ip address
107,be.brunoparmentier.dnssetter,DNSSetter,address chang
108,be.brunoparmentier.dnssetter,DNSSetter,chang reboot
109,be.brunoparmentier.dnssetter,DNSSetter,reboot devic
110,be.brunoparmentier.dnssetter,DNSSetter,devic dn
111,be.brunoparmentier.dnssetter,DNSSetter,dn manag
112,be.brunoparmentier.dnssetter,DNSSetter,manag chang
113,be.brunoparmentier.dnssetter,DNSSetter,chang depend
114,be.brunoparmentier.dnssetter,DNSSetter,depend android
115,be.brunoparmentier.dnssetter,DNSSetter,android version
116,be.brunoparmentier.dnssetter,DNSSetter,version might
