Package Name,Reviewer name,Review,Rating
com.google.android.diskusage,jan,i absolutely love the app design and how easy it is to use,5
com.google.android.diskusage,Q H Torsha,Doesn't work anymore,2
com.google.android.diskusage,Md Waliur Rahman,Good,4
com.google.android.diskusage,Sumit Kumar,Great App. Does exactly what it was supposed to do,5
com.google.android.diskusage,Defi1X,Great app. Was searching for something similar to WinDirStat and this thing does amazing job.,5
com.google.android.diskusage,EndScreenGuy,"Works as advertised, my only problem is there is no dark mod :(",5
com.google.android.diskusage,Lavish Lavish,Unbelivable,5
com.google.android.diskusage,Adokshaj Bhandarkar,Good,5
com.google.android.diskusage,Rahatul Ghazi,"Update this app for newer Android Versions, please!",4
com.google.android.diskusage,Lisa Lavarias,Why does in not work on android 10 :(,1
com.google.android.diskusage,JOSE DYK,Great....,5
com.google.android.diskusage,Samuel Holuk,I've been using this since the dawn of time and it's perfect,5
com.google.android.diskusage,Cvejic Borislav,"The Best App Ever! 1. Takes the least storage space. 2. Scans files crazy quickly. 3. Graphic structure presentation is perfectly accurate and easy to access, check and delete files. 4. Fast delete operation - easy to make difference between system and media files.",5
com.google.android.diskusage,Bithy Afrin,Does nothing,1
com.google.android.diskusage,Mikael Karlsson,Has not been updated for over four years. People should stop recommending it.,1
com.google.android.diskusage,Deshi 10 developer,best app,5
com.google.android.diskusage,Younex,you need to give this app Storage permission before using it (android 12),5
com.google.android.diskusage,Hero For Hire,By far the intuitive tool out there.,5
com.google.android.diskusage,John C,"Is this app being maintained? I am told it's for an older version of Android, and I'm shown no newer version in Playstore",3
com.google.android.diskusage,Perry Ramsey,This is a great application. Very useful for figuring out which apps are hogging your storage.,5
com.google.android.diskusage,David Mulaisho,Simple and effective,4
com.google.android.diskusage,Sabira Razak,Best app. I always recommend everyone,5
com.google.android.diskusage,sam treloar,Yep. Simple to use. Anyone can understand it and see what's using up all the space. That's about it. Good app tho.,4
com.google.android.diskusage,A Google user,Awesome app!,5
com.google.android.diskusage,Maxim Krasny,Perfect and useful app. Shows real space destribution unlike others.,5
com.google.android.diskusage,Prakash Bhandari,Best application,5
com.google.android.diskusage,Raptango_NA,Love this app,5
com.google.android.diskusage,Diego Muñoa,"No ads, small AND fast! The UI could use a little love though lol",5
com.google.android.diskusage,Sagar Nautiyal,Been using it for quite a while. Truly a great app for what it offers. Thanks!,5
com.google.android.diskusage,Alexander Weber playstore,"Incredible how a free of charge and ad free app is soo much better than the paid-bloatware-competition. I perfectly does the job, has a clear and easy to understand interface, direct link to your files app and the app is pretty small. Thank you Ivan!",5
com.google.android.diskusage,Rajendra Momaiyah,Not much special to loud,2
com.google.android.diskusage,Danny Lopez,"Wonderful, after clearing my App cache and removing files this app showed me data that wasn't under Apps or your usual media taking up a Gigabyte and half and deleted in the app.",5
com.google.android.diskusage,Duncan Bowers,"Only showed 2 boxes and 20gb, but not what was in there",3
com.google.android.diskusage,Uday Pratap Singh Atwal,"Simple perfect. No ads, no bs. Simlar to WinDirStat and other disk usage analyzers and very easy to use",5
com.google.android.diskusage,Ivan Gulyaev,"Very useful and free app, thank you!",5
com.google.android.diskusage,Unicorn Sauce,Flawless,5
com.google.android.diskusage,Shaun P,Was wondering what was chewing up all my space. This app enabled me to quickly discover I had a 13GB chrome crdownload file! Awesome.,5
com.google.android.diskusage,ANDEW KRAIG,"Great app, useful and very handy, love it, you can see easily see what's eating up space...",5
com.google.android.diskusage,Rocky Raccoon,The best,5
com.google.android.diskusage,I'm looking for Woody.!,Hat Off to this App because this App is really very generous. It's have all the feature which you need from disk or storage analysis App. This App totally free and storage friendly. I suggest everyone to download this App 1 times in a life. I prefer everyone to download. I suggest my friends to download this App to in there Low end phones. This App give most accurate information about your device storage and SD Card storage section. Thank You Play Store and DiskUsage developers. Keep it Up. 💖💖,5
com.google.android.diskusage,Barry McBangerz,"Really helps see exactly how your storage is being taken up, I use it just how I use WinDirStat on Windows. Thanks dev, great app. Maybe could have better file manager intergration to make it easier to get into the weeds of things.",5
com.google.android.diskusage,Ecliptic Renegade,"Bit too basic for my taste, i wanted to see folders & storage size, but this app was great for telling me roughly who is ""other"" & why they are eating 80% of my storage.",4
com.google.android.diskusage,A Google User,Still working on S10 on Android 12. You will get a clear graphical view on your smartphone storage. Search for 'google' in the App. Or 'cache' or 'data'. It will calculate the sum over your search results and display it graphically. This is really helping you if Google Files shows a System size if 22 GB or Samsung My Files shows huge Other category 👌🙂,5
com.google.android.diskusage,Steven Lowrey,"Needs an update, but it's works",3
com.google.android.diskusage,Sudo Nim,good. does one simple job and does it well. could be improved by functioning as a more versatile and capable launcher for apps to handle files.,5
com.google.android.diskusage,Just625,"Easy to use. Before, I tried to delete many things but the storage keep going up everyday. Thank to this app, i get to know what app took so much space of my storage and it was Calendar app with almost 30gb data",5
com.google.android.diskusage,Ravi Kumar,Very amazing app,5
com.google.android.diskusage,Martin Nemec,Exactly what I needed to locate trouble areas in the internal storage and on SD card. Very simple to use. I like the zoom function.,5
com.google.android.diskusage,Anthony Rizzo,Trash,1
com.google.android.diskusage,Gene White,Over all good but one criticism not very easy to navigate file structure,4
com.google.android.diskusage,David Daniels,"Such a shame this app's development ceased back in 2017 with an update for Android Oreo. If it was updated, it would be back to 5🌟",2
