Package Name,Reviewer name,Review,Rating
de.stefan_oltmann.kaesekaestchen,A Google user,Simple but a lot of fun.,4
de.stefan_oltmann.kaesekaestchen,A Google user,"Sweet, simple, and Free Software / Open Source. Released under the GPL v 3 :^)",5
de.stefan_oltmann.kaesekaestchen,Hakan LANA,"So slim, no ads so good. Still ability of changing backgroud colors and icons can make it almost perfect.",4
de.stefan_oltmann.kaesekaestchen,Faisal Memon,Thanks developer,5
de.stefan_oltmann.kaesekaestchen,Ben Baker,5 stars for not needing to view personal information,5
de.stefan_oltmann.kaesekaestchen,A Google user,"I found that ""squares game"" was easier to interact with",3
de.stefan_oltmann.kaesekaestchen,A Google user,Not the best game,2
de.stefan_oltmann.kaesekaestchen,A Google user,Computer always win even when you have more boxes,0
com.mggames.dotsnbox,Kayra Azadi,Its baad!!!!,1
com.mggames.dotsnbox,Riya Dhabalia,This game is with too many loopholes.,1
com.mggames.dotsnbox,RavI B,Good,5
com.mggames.dotsnbox,Polock Mozumder,Faul app.never install it.YOUR phone will dead,1
com.mggames.dotsnbox,Priyanka Chopade,Cheater aahe game,1
com.mggames.dotsnbox,Mechelle Vega,Good game but could use different patterns. I use to make these game boards on paper but in different patterns and it gave more of a challenge.,3
com.mggames.dotsnbox,Zainali Jafree9,I am champion you challenge me,5
com.mggames.dotsnbox,AdamGaming,Really fun,4
com.mggames.dotsnbox,Melech Evers,Amazing,5
com.mggames.dotsnbox,Richard S,Useless game ..improve it instead of collecting personal information and making money,1
com.mggames.dotsnbox,Ataullah Khan,Nice game,5
com.mggames.dotsnbox,amrit singh,old game with new modification Fun fun fun and very addicting game. Just can't stop playing.,5
com.mggames.dotsnbox,Cedric Davis,I will give three stars for now because there is an issue with playing online to compete with others or friends i can recommend playing the game with,3
com.mggames.dotsnbox,Anil Kumar,It lags sometimes for no reason,3
com.mggames.dotsnbox,ahmed osta,This game is quite unique. The strategic aspect of it is very interesting. It forces the players to think outside the box or should I say inside the box in order to get the most points and be victorious.,5
com.mggames.dotsnbox,Nishant Singh Rajput,Nice,5
com.mggames.dotsnbox,S.Sarvesh,Guys this is a fraud app It gathers your IP address and personal information I read the privacy policy,1
com.mggames.dotsnbox,Suryansh Yadav,Veryy bad,1
com.mggames.dotsnbox,S.Fatima Zehra,we don't have control over placing the lines horizontally or vertically....,2
com.mggames.dotsnbox,yashwanth chintu,Worst game .. game rule is not correct in champion,1
com.mggames.dotsnbox,Paul Loughlin,"Love this game, no more pen and paper ☺️",5
com.mggames.dotsnbox,Theia,Doesn't even Start battles,1
com.mggames.dotsnbox,Edward Santiago,Poo poo,1
com.mggames.dotsnbox,Purnachandrarao Charugundla,Supar,5
com.mggames.dotsnbox,Sidra Khan,Amazing n interesting game!,5
com.mggames.dotsnbox,Victoria Kautz,Very fun game to play.,5
com.mggames.dotsnbox,Gretchen Fritz,P kk drhrhdhjrjrdjdjj Sorry baby cousin,5
com.mggames.dotsnbox,Abhinav P B,"Buggy, when I finish a box it should be mine, but this app instead shows to the opposite player.",2
com.mggames.dotsnbox,Sushma Agrawal,Dot to Dot game,5
com.mggames.dotsnbox,Sonali Dutta,This is a boring game,1
com.mggames.dotsnbox,Mary,Its a nice and its for a kids,5
com.mggames.dotsnbox,Asmita Lathiya,nice game,5
com.mggames.dotsnbox,Shobit Garg,Dot to dot game 🎮 🎯,5
com.mggames.dotsnbox,Ally Land,Great game that is a bit challenging and good fun.,5
com.mggames.dotsnbox,Doug B,"No undo if you accidentally fat finger your line placement, no option to change your colors, the default pale orange and pale pink are intolerable. But they got their ads in there. Uninstalled after 3 games with my kid.",1
com.mggames.dotsnbox,Steve Ulbredtch,Great very old game!!,5
com.mggames.dotsnbox,N Sunitha,So nice,5
com.mggames.dotsnbox,S,Wht does Android get more than one turn?,1
com.mggames.dotsnbox,Arman Amiri,عرفان امیری,5
com.mggames.dotsnbox,Andrea Schleeter,Great game to play with the whole family!!!,5
com.mggames.dotsnbox,Shobha Rani,I like this game but there is sooooo much ads. And the game is very amazing and offline ....... thanks and have a wonderful day .........,5
com.mggames.dotsnbox,Falak Farooq,"Amazing! Instead of dragging the cursor from one dot to another to make a line, you just have to click in between the two dots. The last line the computer drew is highlighted slightly with a yellow outline around it.",5
com.mggames.dotsnbox,Caroline Riley,Very nice game. I have fun and I recommend it to others,5
com.mggames.dotsnbox,mishti c,Dots game,5
com.mggames.dotsnbox,alamin po,Wow...,5
com.mggames.dotsnbox,Meera agrawal Agrawal,Connect dot to dot game,5
com.mggames.dotsnbox,LouAnne Belmore,This game is horrible! No way to determine which way(horizontally or vertically)your lines will go.Fix that issue and it would be a fun way to pass time.,1
com.mggames.dotsnbox,Pragnesh Panchal,Provide 4 player option with more rows and columns,3
com.mggames.dotsnbox,Kuldeep Singh,Maja aa gayaa,5
com.mggames.dotsnbox,Hima Elshiny,Good,5
com.mggames.dotsnbox,laukik kumar mishra,Best in best,5
com.mggames.dotsnbox,PRARTHANA BHATEJA,Waste of time ingore this game pls 😒😒,1
com.mggames.dotsnbox,Srinika Sadhukhan,I like this game.I am feeling boring but on playing this game I am too happy,5
com.mggames.dotsnbox,S Girnari,Nice game 🌹. I defeated Android in expert option. There should be color options 👍,4
com.mggames.dotsnbox,Tyler West,Needs to add custom server to play with friends,1
com.mggames.dotsnbox,Kausar Parween,Very bad app dont waste your time 🤬,1
com.mggames.dotsnbox,Koushal Kishor,What a game 🎯😂😂😂😂 when you play in last moment they change whose turn to other one 😅,1
com.mggames.dotsnbox,kanmani rameshbabu,I am play the game with my mom and single player mode also. And many times I am play the game with single mode.,5
com.mggames.dotsnbox,Manoj Manoj gowda,This is very good Game,5
com.mggames.dotsnbox,Japreet Kaur,Really boring game after a day But first day it was fun,1
com.mggames.dotsnbox,JAAN-E- Tariq,Good,5
com.mggames.dotsnbox,Sohib Khan,Very Excellent game and entrusting,5
com.mggames.dotsnbox,Wonderful Sarkar N1,Dots and Boxes gameis lovely and beautiful and best game I like this game this game this game is easy to use and easy to install you used this game this game is very gorgeous and most famous and so useful..,5
