Package Name,Reviewer name,Review,Rating
ee.smkv.calc.loan,hazel zamudio,👍👍,5
ee.smkv.calc.loan,Setty Sorru,Nice,1
ee.smkv.calc.loan,adhinayak chatterjee,Good,5
ee.smkv.calc.loan,CHIMKANDI GAMER,Great app,5
ee.smkv.calc.loan,Linda Owusu,Very good,2
ee.smkv.calc.loan,sachin behl,Very easy to use,5
ee.smkv.calc.loan,Ivan Khrulenko,Handy little tool,5
ee.smkv.calc.loan,Berebauc Chanel,Excellent,5
ee.smkv.calc.loan,Sothea T.,Excellent. Simple. Free.,5
ee.smkv.calc.loan,Beeveeke9575 KAMATH,Nice app😊 liked by its perfectional calculations,5
ee.smkv.calc.loan,Jesse James C,Nice,5
ee.smkv.calc.loan,znyet,Simple and great!,5
ee.smkv.calc.loan,Buddhika Dassanayaka,Very good calculator,5
ee.smkv.calc.loan,mirabel obijiaku,Very useful,5
ee.smkv.calc.loan,nsbmwt 0749,Good app,5
ee.smkv.calc.loan,Obaid Sadeqi,Easy to use.,5
ee.smkv.calc.loan,Abebe Worku,Good and simple to use!,3
ee.smkv.calc.loan,Jorge Santos,Easy to use.,5
ee.smkv.calc.loan,Amila Perera,good one..,5
ee.smkv.calc.loan,Ivan Alexeevich,no ads,5
ee.smkv.calc.loan,Jassan Islam Jony,V.good,4
ee.smkv.calc.loan,Srinivas,excellent.no ads,5
ee.smkv.calc.loan,Mario T,Great and easy,5
ee.smkv.calc.loan,mohammed mobeen,Very good app,5
ee.smkv.calc.loan,Mark Brasche,Exactly what the doctor ordered. Does the job. Free. No ads. No extra permissions. Thank you!!!,5
ee.smkv.calc.loan,GlipGlop Rick,Really complicated.,1
ee.smkv.calc.loan,Jaysingh Ahuja,This. App is very nice,5
ee.smkv.calc.loan,Suresh Kumar,Waste,1
ee.smkv.calc.loan,Mike L,Works extremely well for quickly calculating payments and options. Definitely handy when car shopping and being able to quickly fact check salesman.,5
ee.smkv.calc.loan,ERICK OWUOTH,Excellent,5
ee.smkv.calc.loan,lakshmi narayana,Small yet does the job..,5
ee.smkv.calc.loan,M. Baum,Doesnt work on newer phonee,1
ee.smkv.calc.loan,Marilyn Johnson,Love it! Easy to use.,5
ee.smkv.calc.loan,Dinesh Kanetkar,fine,5
ee.smkv.calc.loan,Mike Thomas,Not usefull,1
