Package Name,Reviewer name,Review,Rating
com.evanhe.dnsforward,The Piper Family,Doesn't work at all,1
com.evanhe.dnsforward,امیر مهدی حوریزاد,Yk,1
com.evanhe.dnsforward,Alireza w0nder,Works with root access.,4
com.evanhe.dnsforward,ali 7nash,Hell onn,4
com.evanhe.dnsforward,Mar Aye,thank,5
com.evanhe.dnsforward,Madie Aisha,I think it is good for every one to use,5
com.evanhe.dnsforward,koko mg,good,5
com.evanhe.dnsforward,Shwe Yee,Like,5
com.evanhe.dnsforward,محمد ش. حیدر,عالی,5
com.evanhe.dnsforward,Michał Wróblewski,doesn't change dns server's settings on mobile data android 9,1
com.evanhe.dnsforward,Andrey Lappo,"Минусы: реклама, требует root, не поддерживает WARP и WARP+.",2
com.evanhe.dnsforward,Chinedum Derick,lovely app,5
com.evanhe.dnsforward,A Google user,nice work,5
com.evanhe.dnsforward,A Google user,Ok,5
com.evanhe.dnsforward,Prince,not working,1
com.evanhe.dnsforward,Rustam Karimov,Works only after reboot,5
com.evanhe.dnsforward,A Google user,"Might work for ipv4, but since ipv6 appears to be the default these days, 
this seems mostly or entirely useless.",1
com.evanhe.dnsforward,Kipkirui Langat,working pretty good,5
com.evanhe.dnsforward,Glade Adam Fernando,Useless,1
com.evanhe.dnsforward,Nahodha,Good,5
com.evanhe.dnsforward,Ashraf Sada,Excellent,5
com.evanhe.dnsforward,Ze Slime,Worked once then completely stopped,2
com.evanhe.dnsforward,mojok studio,Useful,5
com.evanhe.dnsforward,Philip Deem,Needs a secondary DNS as well. Also an option to remove the taskbar icon and add custom servers would be nice. I would happily pay for this if a paid version were available with both primary and secondary DNS options.,4
com.evanhe.dnsforward,Darren p,It does what it says and works on kitkat.,5
com.evanhe.dnsforward,A Google user,"☆Ten stars I'll give to show me to work it dose ,but,I Don't think so...",1
com.evanhe.dnsforward,Taha Haidr,"It's fast and helpful app , it teaches the types of dns",5
com.evanhe.dnsforward,Omar Jallouli,Doesn't work,1
com.evanhe.dnsforward,A Google user,"The notification is a bit annoying, and it doesn't work on Marshmallow. 😞",4
com.evanhe.dnsforward,Unnecessary Permissions,It helped me solve my dns problems. Many thanks!!,5
com.evanhe.dnsforward,David Rodda,Perfect for enabling/disabling alternate DNS servers to get around geoblocking.,5
com.evanhe.dnsforward,Kc Ryan,"Is the developer still working on this app? Cause I hope so as it work great I'm able to access blocked site, thanks!",5
com.evanhe.dnsforward,A Google user,Notification never leaves,1
com.evanhe.dnsforward,Jayden F,"Only 1 dns active is risky. If the dns down, most user don't know why can't access the net. Better to allow multiple dns as backup. Majority of the dns providers give minimum 2 addresses. I prefer 3 if possible.",4
com.evanhe.dnsforward,Super Nova,I love your sevice..thanks,5
com.evanhe.dnsforward,Greg Walton,"Works on lollipop 5.0, fixes hotspot wifi sign on",5
com.evanhe.dnsforward,Sharil Aimran,Best,5
com.evanhe.dnsforward,Hector Ruano,"Nope, doesn't work on 5.1",1
com.evanhe.dnsforward,Terry Carmen,works perfectly on htc m8,5
com.evanhe.dnsforward,harsha reddy,Amazing app to deal with the stupid DNS issues on android phones.,5
com.evanhe.dnsforward,Random User,"I'm on lolipop, and most dns changing apps are broken (small price to pay), but this one works.",5
com.evanhe.dnsforward,Jacob Tan,"Full screen pop up ads shows up every time I opened the app.  I feel that this is a bit too much.  You can place a smaller sized ad at the empty space below the About section of the app.  That would make it much more manageable.  As for the UI, it would be great if you can update the app in accordance to the Material Design guidelines.",5
com.evanhe.dnsforward,Norman Perry Anak Dady,It works. A suggestion from me would be allowing the app notification to be set to be invisible.,5
com.evanhe.dnsforward,Wedang Gaming,"Thanks dev, work on OS 4.4.4, and still work at lollipop 5.0.2 xperia zr",5
com.evanhe.dnsforward,A Google user,Unable to start on latest firmware of lenovo yoga 8,2
com.evanhe.dnsforward,Jay Lake,"I do not like being filtered, or censored, this app allows me freedom from the tyranny of the injust.",5
com.evanhe.dnsforward,richard octovianus oey,Works perfectly,5
com.evanhe.dnsforward,Rahul Guleria,It is so easy to use,4
com.evanhe.dnsforward,A Google user,Works. Took a restart but it finally got me onto opendns on mobile connection. Android 4.4.4,5
com.evanhe.dnsforward,Davide Balzano,Working like a charm!,5
com.evanhe.dnsforward,A Google user,Good,5
com.evanhe.dnsforward,Ryan Ari Prasetyo,"Hey man this is actually the only app that works that I've tried! Great job man, thanks a lot. Btw from Indonesia and uses XL, to the guy complaining you need to root",5
com.evanhe.dnsforward,Kim Terje .R Grønli,"Brio telecom n's up some dns, ns. Netcom. No up",5
com.evanhe.dnsforward,sandi babay,Thnks,5
com.evanhe.dnsforward,Quân Cây Đa,Work fine!,5
com.evanhe.dnsforward,Smith ShI,少点广告。虽然现在不用了吧！影响使用,2
